Date,"Patricia Pepper","Adrián Babič","Germán Chaves","Tijl De Decker","Kelly Catlin","Lieuwe Westra","Vicente López Carril","Chris Anker Sørensen","Ethan Boyes","Arturo Grávalos"
2016-08-10,0,0,0,0,31,8,2,19,0,0
2016-08-11,0,0,0,0,53,8,2,14,0,0
2016-08-12,0,0,0,0,53,3,3,14,0,0
2016-08-13,0,0,0,0,522,1,2,4,0,0
2016-08-14,0,0,0,0,275,7,2,8,0,0
2016-08-15,0,0,0,0,144,3,1,16,0,0
2016-08-16,0,0,0,0,120,7,0,13,0,0
2016-08-17,0,0,0,0,89,8,0,9,0,0
2016-08-18,0,0,0,0,59,15,2,7,0,0
2016-08-19,0,0,0,0,41,6,2,7,0,0
2016-08-20,0,0,0,0,43,5,2,6,0,0
2016-08-21,0,0,0,0,63,9,5,7,0,0
2016-08-22,0,0,0,0,68,3,0,14,0,0
2016-08-23,0,0,0,0,41,6,2,14,0,0
2016-08-24,0,0,0,0,32,4,3,9,0,0
2016-08-25,0,0,0,0,23,9,1,6,0,0
2016-08-26,0,0,0,0,27,12,1,6,0,0
2016-08-27,0,0,0,0,16,5,1,5,0,0
2016-08-28,0,0,0,0,15,14,3,11,0,0
2016-08-29,0,0,0,0,14,9,2,1,0,0
2016-08-30,0,0,0,0,12,5,3,6,0,0
2016-08-31,0,0,0,0,2,4,1,21,0,0
2016-09-01,0,0,0,0,13,7,2,10,0,0
2016-09-02,0,0,0,0,15,8,1,14,0,0
2016-09-03,0,0,0,0,6,10,3,9,0,0
2016-09-04,0,0,0,0,8,5,1,19,0,0
2016-09-05,0,0,0,0,13,6,3,40,0,0
2016-09-06,0,0,0,0,8,3,3,7,0,0
2016-09-07,0,0,0,0,5,6,1,11,0,0
2016-09-08,0,0,0,0,23,7,0,12,0,0
2016-09-09,0,0,0,0,13,4,1,3,0,0
2016-09-10,0,0,0,0,9,7,2,8,0,0
2016-09-11,0,0,0,0,37,3,1,12,0,0
2016-09-12,0,0,0,0,20,3,1,7,0,0
2016-09-13,0,0,0,0,6,2,1,6,0,0
2016-09-14,0,0,0,0,4,3,2,4,0,0
2016-09-15,0,0,0,0,8,5,1,9,0,0
2016-09-16,0,0,0,0,3,8,0,12,0,0
2016-09-17,0,0,0,0,4,1,5,4,0,0
2016-09-18,0,0,0,0,5,0,1,4,0,0
2016-09-19,0,0,0,0,2,13,1,8,0,0
2016-09-20,0,0,0,0,9,8,3,8,0,0
2016-09-21,0,0,0,0,8,10,3,6,0,0
2016-09-22,0,0,0,0,12,9,2,12,0,0
2016-09-23,0,0,0,0,9,8,2,3,0,0
2016-09-24,0,0,0,0,12,4,1,8,0,0
2016-09-25,0,0,0,0,8,4,1,4,0,0
2016-09-26,0,0,0,0,3,7,6,8,0,0
2016-09-27,0,0,0,0,4,7,1,7,0,0
2016-09-28,0,0,0,0,7,3,1,5,0,0
2016-09-29,0,0,0,0,5,1,2,6,0,0
2016-09-30,0,0,0,0,2,6,2,4,0,0
2016-10-01,0,0,0,0,4,2,0,7,0,0
2016-10-02,0,0,0,0,4,3,1,3,0,0
2016-10-03,0,0,0,0,9,5,1,9,0,0
2016-10-04,0,0,0,0,3,7,0,3,0,0
2016-10-05,0,0,0,0,2,8,0,1,0,0
2016-10-06,0,0,0,0,4,11,0,5,0,0
2016-10-07,0,0,0,0,4,11,0,5,0,0
2016-10-08,0,0,0,0,6,9,3,7,0,0
2016-10-09,0,0,0,0,2,6,2,8,0,0
2016-10-10,0,0,0,0,4,8,1,6,0,0
2016-10-11,0,0,0,0,8,7,1,7,0,0
2016-10-12,0,0,0,0,4,5,0,9,0,0
2016-10-13,0,0,0,0,5,6,3,18,0,0
2016-10-14,0,0,0,0,10,2,4,25,0,0
2016-10-15,0,0,0,0,5,3,2,27,0,0
2016-10-16,0,0,0,0,8,13,2,8,0,0
2016-10-17,0,0,0,0,7,12,1,7,0,0
2016-10-18,0,0,0,0,4,1,0,12,0,0
2016-10-19,0,0,0,0,2,0,1,10,0,0
2016-10-20,0,0,0,0,7,2,2,6,0,0
2016-10-21,0,0,0,0,2,4,0,3,0,0
2016-10-22,0,0,0,0,4,4,1,3,0,0
2016-10-23,0,0,0,0,5,2,2,9,0,0
2016-10-24,0,0,0,0,23,1,1,4,0,0
2016-10-25,0,0,0,0,24,5,1,0,0,0
2016-10-26,0,0,0,0,21,1,3,9,0,0
2016-10-27,0,0,0,0,20,5,4,4,0,0
