"DateTime","Joaquim Agostinho[en]","Connie Meijer[en]","Fabio Casartelli[en]","Manuel Sanroma[en]","Saúl Morales[en]","Nicole Reinhart[en]","Andrey Kivilev[en]","Alessio Galletti[en]","Isaac Gálvez[en]","Bruno Neves[en]","Wouter Weylandt[en]","Junior Heffernan[en]","Annefleur Kalvenhaar[en]","Antoine Demoitié[en]","Daan Myngheer[en]","Gijs Verdick[en]","Bahman Golbarnezhad[en]","Mike Hall (cyclist)[en]","Michael Goolaerts[en]","Robbert de Greef[en]","Bjorg Lambrecht[en]","Suleiman Kangangi[en]","Gino Mäder[en]","Antonio Martín[en]","Néstor Mora[en]","Hernán Patiño[en]","Ricardo Otxoa[en]","Lauri Aus[en]","Amy Gillett[en]","Frederiek Nolf[en]","Zinaida Stahurskaya[en]","Jure Robič[en]","Carla Swart[en]","Carly Hibberd[en]","Víctor Cabedo[en]","Iñaki Lejarreta[en]","Burry Stander[en]","Amy Dombroski[en]","Kristof Goddaert[en]","Kelly McGarry[en]","Michele Scarponi[en]","Jason Lowndes[en]","Desiet Kidane[en]"
"2008-03-28 00:00:00",23,0,58,11,12,39,1,0,35,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,10,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"2008-03-29 00:00:00",0,0,61,0,0,0,0,0,37,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"2008-03-30 00:00:00",16,0,40,8,5,22,0,0,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,8,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"2008-03-31 00:00:00",0,0,48,0,0,0,0,0,34,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"2008-04-01 00:00:00",19,0,41,5,3,32,1,0,18,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,6,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"2008-04-02 00:00:00",0,0,48,0,0,0,0,0,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"2008-04-03 00:00:00",11,0,53,5,4,25,1,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,14,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"2008-04-04 00:00:00",0,0,41,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"2008-04-05 00:00:00",18,0,45,5,5,30,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"2008-04-06 00:00:00",0,0,40,0,0,0,0,0,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2008-04-07 00:00:00",20,0,60,6,3,21,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,10,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"2008-04-08 00:00:00",0,0,41,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"2008-04-09 00:00:00",14,0,49,2,3,30,0,0,16,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,21,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"2008-04-10 00:00:00",0,0,51,0,0,0,0,0,20,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"2008-04-11 00:00:00",15,0,49,2,4,33,0,0,26,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,4,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"2008-04-12 00:00:00",0,0,48,0,0,0,0,0,19,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"2008-04-13 00:00:00",11,0,73,6,10,29,2,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,7,12,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"2008-04-14 00:00:00",0,0,86,0,0,0,0,0,34,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"2008-04-15 00:00:00",14,0,66,7,6,31,0,0,29,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,10,12,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"2008-04-16 00:00:00",0,0,86,0,0,0,0,0,22,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
